,State,District,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
182,Gujarat,Gandhinagar,,7,20740,0,205,20528,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
183,Gujarat,Gir Somnath,,2,8555,0,67,8486,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
184,Gujarat,Jamnagar,,7,34949,0,477,34465,"{'confirmed': 1, 'deceased': 0, 'recovered': 3}",1,0,3
185,Gujarat,Junagadh,,4,20469,0,271,20194,"{'confirmed': 0, 'deceased': 0, 'recovered': 4}",0,0,4
186,Gujarat,Kheda,,5,10422,0,48,10369,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
187,Gujarat,Kutch,,1,12587,0,145,12441,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
188,Gujarat,Mahisagar,,1,8192,0,72,8119,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
189,Gujarat,Mehsana,,5,24414,0,177,24232,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
190,Gujarat,Morbi,,0,6502,0,87,6415,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
191,Gujarat,Narmada,,0,5952,0,15,5937,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
192,Gujarat,Navsari,,3,7155,0,24,7128,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
193,Gujarat,Panchmahal,,0,11770,0,70,11700,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
194,Gujarat,Patan,,2,11624,0,129,11493,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
195,Gujarat,Porbandar,,0,3474,0,19,3455,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
196,Gujarat,Rajkot,,14,57920,0,723,57183,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
197,Gujarat,Sabarkantha,,0,9314,0,157,9157,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
198,Gujarat,Surat,,17,143490,0,1954,141519,"{'confirmed': 3, 'deceased': 0, 'recovered': 3}",3,0,3
199,Gujarat,Surendranagar,,0,8121,0,136,7985,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
200,Gujarat,Tapi,,2,4438,0,23,4413,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
201,Gujarat,Vadodara,,43,77912,0,788,77081,"{'confirmed': 3, 'deceased': 0, 'recovered': 4}",3,0,4
202,Gujarat,Valsad,,1,6244,0,49,6194,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
